"ID","PDM_Type","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","pam_cluster","pam_cluster"
73,"Construction Manager @ Risk",6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
74,"Design-Build",10,30,6,3,3,2,2,1,2,3,2,2,1,1,2,2,2,4,1,2,1,2,2,4,2,5,6,6
75,"Design-Bid-Build",3,1,2,2,4,4,2,5,4,5,4,4,3,1,4,3,2,2,4,5,4,3,5,5,1,3,1,1
76,"Design-Build",5,1,10,3,4,5,5,5,3,5,5,4,1,1,4,3,5,3,5,5,5,5,3,5,1,4,3,3
77,"Construction Manager @ Risk",6,2,4,3,3,3,4,4,4,2,4,2,2,4,3,4,2,4,3,2,2,4,2,3,2,4,4,4
78,"Design-Build",3,1,2,2,4,4,3,3,5,5,4,5,4,4,4,4,3,3,4,4,5,4,4,4,2,4,2,2
79,"Design-Bid-Build",25,2,3,3,2,2,3,4,2,3,2,2,4,2,3,4,2,2,3,4,2,2,3,4,3,3,6,6
80,"Progressive Design-Build",30,1,3,5,2,4,4,4,2,1,4,1,4,4,1,2,2,2,1,1,1,1,1,2,4,2,6,6
81,"Design-Build",10,1,6,3,4,2,2,5,4,4,4,5,1,4,4,4,4,4,4,4,4,3,3,5,1,5,2,2
82,"Design-Build",16,1,1,3,3,2,2,2,3,4,4,4,5,5,4,5,3,4,4,3,4,1,1,1,1,4,4,4
83,"Design-Build",10,2,5,3,4,3,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,3,3,3,1,4,2,2
84,"Design-Build",5,2,3,2,4,3,3,3,4,4,4,3,2,2,3,2,4,4,4,5,4,4,3,4,1,4,2,2
85,"Design-Bid-Build",10,2,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,3,3,3,3,2,2
86,"Progressive Design-Build",50,2,4,2,4,4,4,4,5,5,5,5,4,4,5,5,5,4,3,4,5,4,4,4,3,4,2,2
87,"Design-Build",20,2,3,5,4,2,3,3,4,3,4,2,3,3,4,4,2,2,2,2,3,2,3,4,2,4,6,6
88,"Design-Build",10,5,5,3,3,2,2,3,2,2,3,3,3,3,4,4,3,3,2,3,2,2,4,2,2,2,4,4
89,"Progressive Design-Build",20,2,5,3,4,3,2,2,4,3,3,2,2,4,3,3,3,3,4,3,3,2,2,4,2,2,4,4
90,"Design-Bid-Build",8,5,6,2,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,2,3,3,4,2,2
