ORG_Size_Employees,ORG_Complexity_Locations,ORG_Complexity_Departments,ORG_Hierarchy_Layers,DEC_Authority_Dispersion,DEC_Authority_Delegation,DEC_Process_InformalCommunication,DEC_Process_InformalProcedures,STY_Analytical_DataDriven,STY_Participative_Inclusion,STY_Participative_Relational,STY_Organic_InformalStructure,STY_Organic_Adaptability,STY_Directive_Threats,STY_Directive_Compliance,CUL_Authority_Hierarchical,CUL_Integration_Vision,CUL_Integration_Systematic,CUL_Innovation_Experimental,CUL_Collaboration_Stakeholder,FLEX_Cognitive_Receptivity,FLEX_Behavioral_Adaptability,RISK_Appetite_Investment,ENV_Context_Growth,ENV_Context_Volatility,ENV_Context_Stability,PDM_Selected,PDM_Experience_DBB,PDM_Experience_DB,PDM_Experience_PDB,PDM_Experience_CMAR,PDM_Experience_IPD,Cluster,Membership_Score
15,2,8,4,2,2,3,2,2,3,3,2,3,1,1,3,2,4,2,3,2,2,2,2,5,1,Design-Build,5,5,3,3,2,1,0.5192974583413917
10,3,3,2,5,5,4,5,4,5,5,4,4,1,1,4,5,3,4,5,5,4,5,4,3,3,Progressive Design-Build,3,5,5,3,3,2,0.5280710484123475
10,1,3,2,4,4,4,4,4,4,4,4,4,2,2,4,4,4,5,5,5,5,4,4,2,3,Construction Manager @ Risk,3,3,1,5,3,2,0.5388214381442742
3,1,1,2,3,5,4,4,5,5,4,2,2,1,1,1,4,2,4,3,1,1,4,3,3,4,Design-Bid-Build,5,3,2,2,1,1,0.5019835261920736
3,2,4,3,5,3,5,3,2,5,5,2,5,2,5,3,5,5,4,5,5,5,2,5,3,5,Design-Build,5,2,2,2,5,2,0.5109932775002445
10,1,7,9,4,2,2,2,3,2,4,3,4,1,1,4,4,2,3,3,4,3,2,3,2,3,Design-Bid-Build,5,2,2,2,2,1,0.5098599225850674
10,1,5,3,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,4,2,4,Construction Manager @ Risk,5,5,3,5,2,2,0.5718415517416585
30,1,12,3,3,5,3,3,5,5,4,3,4,2,3,4,5,5,3,5,5,5,3,5,2,2,Construction Manager @ Risk,2,2,2,5,2,2,0.5176792467882343
15,3,5,3,4,2,3,3,3,2,4,4,3,1,1,3,4,4,4,5,4,4,4,3,3,4,Design-Bid-Build,5,5,2,3,2,2,0.5052052180567848
40,1,12,4,4,3,4,4,4,5,5,3,4,1,2,4,5,2,4,5,5,4,2,5,2,5,Construction Manager @ Risk,5,3,2,5,1,2,0.5241612059290133
20,5,10,2,3,3,4,5,3,2,3,2,4,2,2,2,3,3,2,4,4,4,4,3,4,3,Construction Manager @ Risk,2,3,1,5,3,1,0.5086616079862202
4,1,8,3,4,2,4,4,4,4,4,3,4,2,2,2,4,3,4,4,5,4,4,5,2,5,Construction Manager @ Risk,5,1,1,5,2,2,0.5252540823426284
20,1,10,6,4,4,4,4,4,4,4,4,4,1,1,2,5,5,5,5,5,5,4,5,1,4,Construction Manager @ Risk,5,5,3,3,1,2,0.5243636480080117
15,2,4,4,4,2,4,4,4,2,3,3,5,3,2,4,4,4,4,4,2,3,2,4,2,4,Design-Bid-Build,5,2,2,5,3,1,0.511696019230756
75,1,20,3,4,4,5,2,4,3,5,5,5,1,1,3,5,3,4,5,5,4,3,5,3,4,Construction Manager @ Risk,5,3,5,5,3,2,0.5233653677842439
20,1,6,3,4,4,3,4,4,2,4,2,4,1,3,2,3,4,3,4,2,3,1,3,3,4,Design-Bid-Build,5,2,1,2,2,1,0.513384890700169
8,2,2,4,3,4,3,3,4,4,5,4,5,1,1,2,4,4,5,5,4,4,4,3,3,4,Construction Manager @ Risk,3,3,3,5,5,2,0.5246557900291453
12,1,5,3,2,3,4,4,4,4,5,5,5,1,1,4,5,3,4,4,5,2,3,4,2,4,Construction Manager @ Risk,5,5,5,5,2,2,0.5203670617861346
20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Construction Manager @ Risk,5,5,1,5,2,2,0.5125195458624436
100,2,30,5,4,4,2,2,4,5,5,2,5,1,3,1,5,5,4,5,5,2,1,3,1,5,Integrated Project Delivery (IPD),5,5,2,5,5,2,0.5050480316010669
