"Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","cluster"
20,1,10,6,4,4,4,4,4,1,2,5,5,5,5,5,5,4,5,1,4,2
15,2,4,4,3,4,4,2.5,4,2.5,4,4,4,4,4,2,3,2,4,2,4,2
75,1,20,3,4,3.5,4,4,5,1,3,5,3,4,5,5,4,3,5,3,4,2
20,1,6,3,4,3.5,4,3,3,2,2,3,4,3,4,2,3,1,3,3,4,1
8,2,2,4,3.5,3,4,4.5,4.5,1,2,4,4,5,5,4,4,4,3,3,4,2
12,1,5,3,2.5,4,4,4.5,5,1,4,5,3,4,4,5,2,3,4,2,4,2
20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
100,2,30,5,4,2,4,5,3.5,2,1,5,5,4,5,5,2,1,3,1,5,2
20,3,6,3,4,4,2,3,3,1,4,4,4,4,4,2,2,1,3,1,4,2
15,2,5,4,3.5,4,5,4,4,1,3,4,3,4,5,4,4,3,5,4,4,2
25,1,3,1,4.5,3,4,3.5,4,1,4,5,5,4,5,5,4,4,5,1,5,2
9,2,5,4,4,3.5,4,3.5,3.5,3,2,4,4,3,4,4,3,2,4,2,4,2
3,3,4,4,4,4,4,4,4.5,4.5,4,4,5,5,5,3,2,5,5,4,3,2
20,1,6,4,2,4,2,3,2,3,4,2,2,2,2,1,1,2,4,3,3,1
20,9,17,3,3.5,3,3,3,4,4,4,4,5,2,2,4,4,4,2,3,2,1
100,4,12,4,4,4,2,4,3,2.5,2,2,2,2,4,4,3,2,3,2,3,1
6,2,5,2,4,2,4,3.5,4,2.5,3,3,4,4,4,4,3,3,4,3,4,2
10,1,5,5,4,4,3,4.5,3.5,1.5,4,4,4,4,4,4,4,3,4,2,4,2
30,2,3,3,4.5,5,5,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
5,2,4,3,3.5,4,2,4,4,2,3,4,4,2,4,4,4,3,4,2,4,2
20,1,3,1,3,2,2,4,3.5,1.5,4,4,4,4,4,5,4,3,5,3,3,2
100,1,5,2,4,5,5,5,5,5,5,4,4,5,5,4,4,5,3,4,2,2
2,1,2,3,1,3,3,2,3,1.5,3,2,2,3,4,3,4,1,2,2,2,1
6,2,5,1,4.5,5,5,5,4.5,2.5,4,5,4,4,5,5,3,4,5,2,5,2
5,2,3,2,2.5,4,2,3,4,2,4,3,3,3,4,4,3,3,4,3,2,1
8,2,2,2,4,4,4,4,4.5,2,2,4,4,5,5,4,3,2,4,4,3,2
3,1,4,3,4.5,3.5,3,4,4,3.5,4,2,4,3,2,4,2,2,4,2,4,1
