"original_data.Org_Structure_Employees","original_data.Org_Structure_Locations","original_data.Org_Structure_Depts","original_data.Org_Structure_Layers","original_data.Distribution_Centralization1","original_data.Distribution_Centralization2","original_data.Distribution_Formalization1","original_data.Distribution_Formalization2","original_data.Style_Technocracy","original_data.Style_Participation1","original_data.Style_Participation2","original_data.Style_Organicity1","original_data.Style_Organicity2","original_data.Style_Coercion1","original_data.Style_Coercion2","original_data.Culture_Command","original_data.Culture_Symbolic","original_data.Culture_Rationale","original_data.Culture_Generative","original_data.Culture_Transactive","original_data.Flexibility_openness","original_data.Flexibility_Recursiveness","original_data.Risk","original_data.Environment_Growth","original_data.Environment_Hostile","original_data.Environment_Stable","cluster_k2","cluster_k3"
20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1
100,2,30,5,4,4,2,2,4,5,5,2,5,1,3,1,5,5,4,5,5,2,1,3,1,5,1,1
20,3,6,3,4,4,4,4,2,4,2,2,4,1,1,4,4,4,4,4,2,2,1,3,1,4,1,2
15,2,5,4,4,3,4,4,5,4,4,4,4,1,1,3,4,3,4,5,4,4,3,5,4,4,1,2
25,1,3,1,5,4,4,2,4,3,4,4,4,1,1,4,5,5,4,5,5,4,4,5,1,5,1,2
9,2,5,4,4,4,4,3,4,3,4,4,3,3,3,2,4,4,3,4,4,3,2,4,2,4,1,2
3,3,4,4,5,3,3,5,4,3,5,5,4,5,4,4,4,5,5,5,3,2,5,5,4,3,2,2
20,1,6,4,2,2,4,4,2,3,3,2,2,3,3,4,2,2,2,2,1,1,2,4,3,3,2,3
20,9,17,3,4,3,4,2,3,4,2,3,5,4,4,4,4,5,2,2,4,4,4,2,3,2,1,2
100,4,12,4,4,4,4,4,2,4,4,4,2,3,2,2,2,2,2,4,4,3,2,3,2,3,1,2
6,2,5,2,4,4,2,2,4,4,3,4,4,2,3,3,3,4,4,4,4,3,3,4,3,4,1,2
10,1,5,5,4,4,4,4,3,5,4,3,4,2,1,4,4,4,4,4,4,4,3,4,2,4,1,2
30,2,3,3,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
5,2,4,3,4,3,4,4,2,3,5,4,4,2,2,3,4,4,2,4,4,4,3,4,2,4,1,2
20,1,3,1,2,4,2,2,2,4,4,4,3,1,2,4,4,4,4,4,5,4,3,5,3,3,1,2
100,1,5,2,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,3,4,2,1,1
2,1,2,3,1,1,3,3,3,2,2,4,2,1,2,3,2,2,3,4,3,4,1,2,2,2,2,3
6,2,5,1,5,4,5,5,5,5,5,5,4,1,4,4,5,4,4,5,5,3,4,5,2,5,1,2
5,2,3,2,3,2,4,4,2,3,3,4,4,2,2,4,3,3,3,4,4,3,3,4,3,2,1,2
