"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PC1","PC2","PC3","UMAP1","UMAP2"
33,15,2,8,4,2,2.5,2,3,2.5,1,3,2,4,2,3,2,2,2,2,5,1,4.99231969368013,0.604857390284885,-1.39307772878487,0.496308668711398,-3.06830041826817
34,10,3,3,2,5,4.5,4,5,4,1,4,5,3,4,5,5,4,5,4,3,3,-3.13576569420458,0.449924043914815,-1.42136116384183,-1.2016289606757,2.62197245352225
35,10,1,3,2,4,4,4,4,4,2,4,4,4,5,5,5,5,4,4,2,3,-2.51245849943749,0.244037190902309,0.0692189855922705,-0.785828312560209,2.64264706537336
36,3,1,1,2,4,4,5,4.5,2,1,1,4,2,4,3,1,1,4,3,3,4,1.22080609165965,-0.88377319987009,-3.29100879544616,1.46977151657381,0.701615003819708
37,3,2,4,3.15238095238095,4,4,2,5,3.5,3.5,3,5,5,3.46728971962617,5,5,5,2,5,3,5,-2.14125486284563,0.0245858808721123,1.24092838015972,-0.452434621629338,1.24372719384109
38,10,1,7,9,3,2,3,3,3.5,1,4,4,2,3,3,4,3,2,3,2,3,1.99656102301095,-1.15203375155773,0.339064993861451,0.494962074533411,-2.28496531248881
39,10,1,5,3,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,4,-1.33298230477233,0.208381340404822,0.39621491443802,-0.205177395076019,0.900056703742699
40,30,1,12,3,4,3,5,4.5,3.5,2.5,4,5,5,3,5,5,5,3,5,2,2,-2.19863644698299,0.617302645831217,0.82975161429292,-0.659816644504481,2.72157908089676
41,15,3,5,3,3,3,3,3,3.5,1,3,4,4,4,5,4,4,4,3,3,4,-0.272960804881289,-0.731792078623413,0.206370197626757,0.65481178699273,1.27621153731967
42,40,1,12,4,3.5,4,4,5,3.5,1.5,4,5,2,4,5,5,4,2,5,2,5,-2.19791501164585,-1.4687681434001,0.072797294420259,-0.239353961007691,2.09650931244014
