"PDM_Type","Org_Structure_Employees_mean","Org_Structure_Employees_sd","Org_Structure_Employees_median","Org_Structure_Locations_mean","Org_Structure_Locations_sd","Org_Structure_Locations_median","Org_Structure_Depts_mean","Org_Structure_Depts_sd","Org_Structure_Depts_median","Org_Structure_Layers_mean","Org_Structure_Layers_sd","Org_Structure_Layers_median","Distribution_Centralization_mean","Distribution_Centralization_sd","Distribution_Centralization_median","Distribution_Formalization_mean","Distribution_Formalization_sd","Distribution_Formalization_median","Style_Technocracy_mean","Style_Technocracy_sd","Style_Technocracy_median","Style_Participation_mean","Style_Participation_sd","Style_Participation_median","Style_Organicity_mean","Style_Organicity_sd","Style_Organicity_median","Style_Coercion_mean","Style_Coercion_sd","Style_Coercion_median","Culture_Command_mean","Culture_Command_sd","Culture_Command_median","Culture_Symbolic_mean","Culture_Symbolic_sd","Culture_Symbolic_median","Culture_Rationale_mean","Culture_Rationale_sd","Culture_Rationale_median","Culture_Generative_mean","Culture_Generative_sd","Culture_Generative_median","Culture_Transactive_mean","Culture_Transactive_sd","Culture_Transactive_median","Flexibility_openness_mean","Flexibility_openness_sd","Flexibility_openness_median","Flexibility_Recursiveness_mean","Flexibility_Recursiveness_sd","Flexibility_Recursiveness_median","Risk_mean","Risk_sd","Risk_median","Environment_Growth_mean","Environment_Growth_sd","Environment_Growth_median","Environment_Hostile_mean","Environment_Hostile_sd","Environment_Hostile_median","Environment_Stable_mean","Environment_Stable_sd","Environment_Stable_median"
"Construction Manager @ Risk",28.6923076923077,43.3854991726676,10,6.21501831501832,22.223054470723,1,9.11172161172161,7.78476845640015,6.45238095238096,3.23663003663004,1.14135676849134,3,3.46153846153846,0.760566590418971,3.5,3.63461538461538,0.781763292917905,4,3.84615384615385,0.731699812344253,4,3.98076923076923,0.670533656586591,4,3.98076923076923,0.685284893030179,4,2.09615384615385,1.00019228920474,2,3.26923076923077,1.00230503571287,3,4,0.938083151964686,4,3.57692307692308,0.902134221635647,4,3.73076923076923,0.87442288660315,4,4.23076923076923,0.815239464584109,4,4.11538461538461,1.03254726097833,4,3.88461538461538,0.863801971607987,4,3.19051042415528,0.939330268485227,3,4.11538461538461,0.908930055699472,4,2.53846153846154,0.989172148041754,2,3.92307692307692,0.744208407535251,4
"Design-Bid-Build",12.2916666666667,8.15330909970684,10,1.91666666666667,1.0179547554081,2,3.91666666666667,1.6396358733272,4,3.08333333333333,1.58571521832364,3,3.33333333333333,1.05980583400786,4,3.45833333333333,0.806450444131925,3.75,3.33333333333333,1.12931940514656,3,3.35416666666667,1.02659384740813,3.75,3.45833333333333,0.779027636204913,3.5,2.27083333333333,1.14188218636435,2,3.45833333333333,0.977092700273386,4,3.5,0.884651736929383,4,3.375,1.05552377272263,4,3.33333333333333,1.0494995356656,3.5,3.83333333333333,1.16718415024353,4,3.20833333333333,1.2150922908826,3,3.04166666666667,1.23285341230492,3,2.79166666666667,1.25036226634582,3,3.69654088050314,0.905778579015143,3.35849056603774,3.0607476635514,1.10739133535303,3,3.52672955974843,0.972510817088741,4
"Design-Build",22.5675675675676,26.3823810530822,10,3.58352638352638,6.0478417859447,2,5.53539253539254,3.6003486121731,5,3.25148005148005,1.29857269837222,3,3.36486486486486,0.830400243596162,3.5,3.39189189189189,0.936417042175588,3.5,3.27027027027027,0.990192143212862,3,3.71621621621622,0.712395611656548,4,3.62162162162162,0.76743987644894,4,2.64864864864865,1.14785346084227,2.5,3.54054054054054,0.930788035143537,4,3.54054054054054,1.01638232621048,4,3.7027027027027,0.908749594677118,4,3.28289972215206,1.01731081135922,3,3.81081081081081,0.907923082823828,4,3.75094720889113,1.08973996741117,4,3.17277090174286,1.06783311957717,3,2.89189189189189,1.02153979048471,3,3.45945945945946,1.01638232621048,4,2.18918918918919,1.07594500679991,2,3.54054054054054,1.120381745324,4
"Integrated Project Delivery (IPD)",80.4,121.308788726218,20,2,1.05409255338946,2,14.7,11.6050755179696,12.5,3,1.33333333333333,3,3.7,1.08525470640665,4,4,1.08012344973464,4.25,4,0.816496580927726,4,4.35,0.709068246206088,4.5,4.1,0.809663853432741,4.5,1.3,0.421637021355784,1,2.9,1.44913767461894,3,4.3,0.823272602348565,4.5,3.4,1.34989711542111,3.5,4.1,0.567646212197547,4,4.5,0.52704627669473,4.5,4.5,0.52704627669473,4.5,3.8,1.13529242439509,4,3.1,0.994428926011753,3,4.07169811320755,0.580104730508596,4,1.9,0.994428926011753,2,3.86415094339623,0.996882129672126,4
"Progressive Design-Build",27,27.4918169643259,20,2.50822510822511,2.63985594579585,2,5.72727272727273,3.03614588222994,5,2.90909090909091,0.943879807448539,3,3.81818181818182,0.716684284490991,4,3.59090909090909,0.860760762877288,4,3.27272727272727,1.27207775634268,3,3.90909090909091,1.04446593573419,4,3.59090909090909,0.917010954628728,3.5,2.31818181818182,1.07871977994119,2.5,3.09090909090909,1.13618180363404,3,3.72727272727273,1.1037127426019,4,3.09090909090909,0.831209414593634,3,3.18181818181818,1.16774841624228,3,3.72727272727273,1.1037127426019,4,3.72727272727273,1.1908743922773,4,3.36363636363636,1.20604537831105,4,2.81818181818182,1.16774841624228,3,3.36363636363636,1.02691063610494,4,2.36363636363636,0.80903983495589,2,3.36363636363636,0.924416277737175,3
