"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster"
44,4,1,8,3,4,2,4,4,4,4,3,4,2,2,4,2,4,3,4,4,5,4,4,5,2,5,"Construction Manager @ Risk",4
45,20,1,10,6,4,4,4,4,4,4,4,4,1,1,4,2,5,5,5,5,5,5,4,5,1,4,"Construction Manager @ Risk",7
46,15,2,4,4,4,2,4,4,2,3,3,5,3,2,4,4,4,4,4,4,2,3,2,4,2,4,"Design-Bid-Build",7
47,75,1,20,3,4,4,5,2,3,5,5,5,1,1,4,3,5,3,4,5,5,4,3,5,3,4,"Construction Manager @ Risk",3
48,20,1,6,3,4,4,3,4,2,4,2,4,1,3,4,2,3,4,3,4,2,3,1,3,3,4,"Design-Bid-Build",1
49,8,2,2,4,3,4,3,3,4,5,4,5,1,1,4,2,4,4,5,5,4,4,4,3,3,4,"Construction Manager @ Risk",4
50,12,1,5,3,2,3,4,4,4,5,5,5,1,1,4,4,5,3,4,4,5,2,3,4,2,4,"Construction Manager @ Risk",7
51,20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Construction Manager @ Risk",3
52,100,2,30,5,4,4,2,2,5,5,2,5,1,3,4,1,5,5,4,5,5,2,1,3,1,5,"Integrated Project Delivery (IPD)",6
53,20,3,6,3,4,4,4,4,4,2,2,4,1,1,2,4,4,4,4,4,2,2,1,3,1,4,"Design-Bid-Build",7
54,15,2,5,4,4,3,4,4,4,4,4,4,1,1,5,3,4,3,4,5,4,4,3,5,4,4,"Construction Manager @ Risk",7
55,25,1,3,1,5,4,4,2,3,4,4,4,1,1,4,4,5,5,4,5,5,4,4,5,1,5,"Design-Build",3
56,9,2,5,4,4,4,4,3,3,4,4,3,3,3,4,2,4,4,3,4,4,3,2,4,2,4,"Design-Build",4
57,3,3,4,4,5,3,3,5,3,5,5,4,5,4,4,4,4,5,5,5,3,2,5,5,4,3,"Design-Bid-Build",3
58,20,1,6,4,2,2,4,4,3,3,2,2,3,3,2,4,2,2,2,2,1,1,2,4,3,3,"Design-Build",2
59,20,9,17,3,4,3,4,2,4,2,3,5,4,4,3,4,4,5,2,2,4,4,4,2,3,2,"Design-Build",1
60,100,4,12,4,4,4,4,4,4,4,4,2,3,2,2,2,2,2,2,4,4,3,2,3,2,3,"Design-Build",1
61,6,2,5,2,4,4,2,2,4,3,4,4,2,3,4,3,3,4,4,4,4,3,3,4,3,4,"Construction Manager @ Risk",4
62,10,1,5,5,4,4,4,4,5,4,3,4,2,1,3,4,4,4,4,4,4,4,3,4,2,4,"Design-Build",7
63,30,2,3,3,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Design-Bid-Build",3
65,5,2,4,3,4,3,4,4,3,5,4,4,2,2,2,3,4,4,2,4,4,4,3,4,2,4,"Progressive Design-Build",4
66,20,1,3,1,2,4,2,2,4,4,4,3,1,2,2,4,4,4,4,4,5,4,3,5,3,3,"Design-Bid-Build",7
67,100,1,5,2,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,3,4,2,"Design-Build",6
