"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster"
31,50,4,10,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,3,3,2,"Design-Build",1
32,100,10,12,3,4,4,4,2,4,2,2,3,3,2,3,4,3,4,2,3,4,4,2,2,2,4,"Progressive Design-Build",1
33,15,2,8,4,2,2,3,2,3,3,2,3,1,1,2,3,2,4,2,3,2,2,2,2,5,1,"Design-Build",2
34,10,3,3,2,5,5,4,5,5,5,4,4,1,1,4,4,5,3,4,5,5,4,5,4,3,3,"Progressive Design-Build",1
35,10,1,3,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,5,5,5,5,4,4,2,3,"Construction Manager @ Risk",1
36,3,1,1,2,3,5,4,4,5,4,2,2,1,1,5,1,4,2,4,3,1,1,4,3,3,4,"Design-Bid-Build",1
37,3,2,4,3,5,3,5,3,5,5,2,5,2,5,2,3,5,5,4,5,5,5,2,5,3,5,"Design-Build",2
38,10,1,7,9,4,2,2,2,2,4,3,4,1,1,3,4,4,2,3,3,4,3,2,3,2,3,"Design-Bid-Build",2
39,10,1,5,3,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,3,4,2,4,"Construction Manager @ Risk",1
40,30,1,12,3,3,5,3,3,5,4,3,4,2,3,5,4,5,5,3,5,5,5,3,5,2,2,"Construction Manager @ Risk",2
41,15,3,5,3,4,2,3,3,2,4,4,3,1,1,3,3,4,4,4,5,4,4,4,3,3,4,"Design-Bid-Build",1
42,40,1,12,4,4,3,4,4,5,5,3,4,1,2,4,4,5,2,4,5,5,4,2,5,2,5,"Construction Manager @ Risk",1
43,20,5,10,2,3,3,4,5,2,3,2,4,2,2,3,2,3,3,2,4,4,4,4,3,4,3,"Construction Manager @ Risk",2
44,4,1,8,3,4,2,4,4,4,4,3,4,2,2,4,2,4,3,4,4,5,4,4,5,2,5,"Construction Manager @ Risk",1
45,20,1,10,6,4,4,4,4,4,4,4,4,1,1,4,2,5,5,5,5,5,5,4,5,1,4,"Construction Manager @ Risk",1
46,15,2,4,4,4,2,4,4,2,3,3,5,3,2,4,4,4,4,4,4,2,3,2,4,2,4,"Design-Bid-Build",1
47,75,1,20,3,4,4,5,2,3,5,5,5,1,1,4,3,5,3,4,5,5,4,3,5,3,4,"Construction Manager @ Risk",1
48,20,1,6,3,4,4,3,4,2,4,2,4,1,3,4,2,3,4,3,4,2,3,1,3,3,4,"Design-Bid-Build",1
49,8,2,2,4,3,4,3,3,4,5,4,5,1,1,4,2,4,4,5,5,4,4,4,3,3,4,"Construction Manager @ Risk",1
50,12,1,5,3,2,3,4,4,4,5,5,5,1,1,4,4,5,3,4,4,5,2,3,4,2,4,"Construction Manager @ Risk",1
51,20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Construction Manager @ Risk",2
52,100,2,30,5,4,4,2,2,5,5,2,5,1,3,4,1,5,5,4,5,5,2,1,3,1,5,"Integrated Project Delivery (IPD)",1
53,20,3,6,3,4,4,4,4,4,2,2,4,1,1,2,4,4,4,4,4,2,2,1,3,1,4,"Design-Bid-Build",1
54,15,2,5,4,4,3,4,4,4,4,4,4,1,1,5,3,4,3,4,5,4,4,3,5,4,4,"Construction Manager @ Risk",1
55,25,1,3,1,5,4,4,2,3,4,4,4,1,1,4,4,5,5,4,5,5,4,4,5,1,5,"Design-Build",1
56,9,2,5,4,4,4,4,3,3,4,4,3,3,3,4,2,4,4,3,4,4,3,2,4,2,4,"Design-Build",1
57,3,3,4,4,5,3,3,5,3,5,5,4,5,4,4,4,4,5,5,5,3,2,5,5,4,3,"Design-Bid-Build",2
58,20,1,6,4,2,2,4,4,3,3,2,2,3,3,2,4,2,2,2,2,1,1,2,4,3,3,"Design-Build",2
59,20,9,17,3,4,3,4,2,4,2,3,5,4,4,3,4,4,5,2,2,4,4,4,2,3,2,"Design-Build",1
60,100,4,12,4,4,4,4,4,4,4,4,2,3,2,2,2,2,2,2,4,4,3,2,3,2,3,"Design-Build",1
61,6,2,5,2,4,4,2,2,4,3,4,4,2,3,4,3,3,4,4,4,4,3,3,4,3,4,"Construction Manager @ Risk",1
62,10,1,5,5,4,4,4,4,5,4,3,4,2,1,3,4,4,4,4,4,4,4,3,4,2,4,"Design-Build",1
63,30,2,3,3,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Design-Bid-Build",1
65,5,2,4,3,4,3,4,4,3,5,4,4,2,2,2,3,4,4,2,4,4,4,3,4,2,4,"Progressive Design-Build",1
66,20,1,3,1,2,4,2,2,4,4,4,3,1,2,2,4,4,4,4,4,5,4,3,5,3,3,"Design-Bid-Build",1
67,100,1,5,2,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,3,4,2,"Design-Build",1
68,2,1,2,3,1,1,3,3,2,2,4,2,1,2,3,3,2,2,3,4,3,4,1,2,2,2,"Design-Bid-Build",2
69,6,2,5,1,5,4,5,5,5,5,5,4,1,4,5,4,5,4,4,5,5,3,4,5,2,5,"Design-Build",1
70,5,2,3,2,3,2,4,4,3,3,4,4,2,2,2,4,3,3,3,4,4,3,3,4,3,2,"Design-Bid-Build",1
71,8,2,2,2,4,4,4,4,4,4,4,5,2,2,4,2,4,4,5,5,4,3,2,4,4,3,"Design-Build",1
72,3,1,4,3,5,4,3,4,4,4,4,4,4,3,3,4,2,4,3,2,4,2,2,4,2,4,"Design-Build",1
73,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk",2
74,10,30,6,3,3,2,2,1,2,3,2,2,1,1,2,2,2,4,1,2,1,2,2,4,2,5,"Design-Build",2
75,3,1,2,2,4,4,2,5,4,5,4,4,3,1,4,3,2,2,4,5,4,3,5,5,1,3,"Design-Bid-Build",1
76,5,1,10,3,4,5,5,5,3,5,5,4,1,1,4,3,5,3,5,5,5,5,3,5,1,4,"Design-Build",1
77,6,2,4,3,3,3,4,4,4,2,4,2,2,4,3,4,2,4,3,2,2,4,2,3,2,4,"Construction Manager @ Risk",2
78,3,1,2,2,4,4,3,3,5,5,4,5,4,4,4,4,3,3,4,4,5,4,4,4,2,4,"Design-Build",1
79,25,2,3,3,2,2,3,4,2,3,2,2,4,2,3,4,2,2,3,4,2,2,3,4,3,3,"Design-Bid-Build",2
80,30,1,3,5,2,4,4,4,2,1,4,1,4,4,1,2,2,2,1,1,1,1,1,2,4,2,"Progressive Design-Build",1
81,10,1,6,3,4,2,2,5,4,4,4,5,1,4,4,4,4,4,4,4,4,3,3,5,1,5,"Design-Build",1
82,16,1,1,3,3,2,2,2,3,4,4,4,5,5,4,5,3,4,4,3,4,1,1,1,1,4,"Design-Build",1
83,10,2,5,3,4,3,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,3,3,3,1,4,"Design-Build",1
84,5,2,3,2,4,3,3,3,4,4,4,3,2,2,3,2,4,4,4,5,4,4,3,4,1,4,"Design-Build",1
85,10,2,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,3,3,3,3,"Design-Bid-Build",1
86,50,2,4,2,4,4,4,4,5,5,5,5,4,4,5,5,5,4,3,4,5,4,4,4,3,4,"Progressive Design-Build",1
87,20,2,3,5,4,2,3,3,4,3,4,2,3,3,4,4,2,2,2,2,3,2,3,4,2,4,"Design-Build",2
88,10,5,5,3,3,2,2,3,2,2,3,3,3,3,4,4,3,3,2,3,2,2,4,2,2,2,"Design-Build",2
89,20,2,5,3,4,3,2,2,4,3,3,2,2,4,3,3,3,3,4,3,3,2,2,4,2,2,"Progressive Design-Build",2
90,8,5,6,2,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,2,3,3,4,"Design-Bid-Build",1
91,15,3,4,3,4,4,5,3,1,1,3,2,1,2,2,4,3,2,2,1,2,1,1,5,5,1,"Design-Bid-Build",2
92,4,2,4,2,4,5,4,4,4,4,4,3,3,2,3,4,4,4,4,5,3,3,3,3,2,3,"Design-Bid-Build",1
93,10,1,4,2,5,4,4,4,5,4,4,3,3,3,3,5,4,5,4,4,5,4,4,5,5,5,"Design-Bid-Build",1
94,9,1,3,2,4,3,3,4,4,4,4,4,2,2,4,3,4,2,4,4,5,4,3,3,3,3,"Design-Build",1
95,20,3,15,4,4,3,3,3,4,3,3,3,4,4,3,2,2,3,3,4,4,4,4,3,4,1,"Design-Build",2
96,5,3,3,3,3,3,4,4,4,4,3,4,1,1,4,3,4,5,3,4,5,4,4,4,1,2,"Design-Build",1
97,5,1,2,2,4,3,4,4,4,5,4,4,3,4,4,4,4,3,3,4,4,4,2,4,2,4,"Design-Build",1
98,20,1,3,4,1,2,4,4,2,2,4,2,4,4,1,4,2,2,1,2,2,1,2,4,4,4,"Design-Bid-Build",2
99,5,3,4,3,4,2,2,2,4,5,4,4,2,2,5,3,4,4,2,4,2,2,2,3,3,5,"Design-Bid-Build",1
100,20,2,3,3,4,4,3,3,4,4,4,4,1,1,4,4,4,3,4,4,3,2,4,4,2,4,"Progressive Design-Build",1
101,10,1,2,2,4,4,3,3,4,4,4,5,2,2,5,4,4,4,3,4,4,2,1,4,2,4,"Design-Build",1
102,20,1,8,3,4,1,2,2,2,4,2,2,3,3,3,4,2,5,1,4,2,4,2,2,1,3,"Design-Build",2
103,40,2,5,3,4,4,5,5,4,3,3,4,1,1,2,4,4,4,4,4,4,4,4,3,1,5,"Design-Build",1
104,25,1,6,4,3,4,3,3,4,4,4,4,2,3,3,4,4,3,3,3,2,2,2,3,4,4,"Design-Bid-Build",2
105,20,1,8,6,3,4,3,3,4,3,3,2,3,1,3,4,4,4,4,4,4,2,2,2,4,3,"Design-Build",2
106,40,2,3,3,2,1,2,1,2,4,4,2,2,3,2,4,2,2,3,4,2,2,2,3,2,4,"Design-Build",2
107,40,3,5,5,2,1,4,4,2,3,4,4,4,3,2,5,4,4,3,4,3,2,4,2,2,3,"Design-Build",1
108,12,1,4,5,5,3,4,2,4,5,3,4,1,1,4,2,4,4,3,5,4,4,3,4,4,4,"Design-Bid-Build",1
109,100,25,1,5,3,2,2,2,3,4,4,4,4,5,3,5,5,4,3,4,5,5,4,3,1,5,"Design-Build",1
