"ID","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","Cluster"
74,2.5,1.5,2,2.5,2,1,2,2,4,1,2,1,2,2,4,2,5,3
75,4,3.5,4,4.5,4,2,3,2,2,4,5,4,3,5,5,1,3,2
76,4.5,5,4,4,4.5,1,3,5,3,5,5,5,5,3,5,1,4,2
77,3,4,3,3,3,3,4,2,4,3,2,2,4,2,3,2,4,1
78,4,3,4,5,4.5,4,4,3,3,4,4,5,4,4,4,2,4,2
79,2,3.5,3,2.5,2,3,4,2,2,3,4,2,2,3,4,3,3,3
80,3,4,1,1.5,2.5,4,2,2,2,1,1,1,1,1,2,4,2,3
81,3,3.5,4,4,4.5,2.5,4,4,4,4,4,4,3,3,5,1,5,2
82,2.5,2,4,3.5,4,5,5,3,4,4,3,4,1,1,1,1,4,1
83,3.5,4,3,4,4,2.5,3,4,4,4,4,4,3,3,3,1,4,2
84,3.5,3,3,4,3.5,2,2,4,4,4,5,4,4,3,4,1,4,2
85,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,3,1
86,4,4,5,5,5,4,5,5,4,3,4,5,4,4,4,3,4,2
87,3,3,4,3.5,3,3,4,2,2,2,2,3,2,3,4,2,4,1
88,2.5,2.5,4,2,3,3,4,3,3,2,3,2,2,4,2,2,2,1
89,3.5,2,3,3.5,2.5,3,3,3,3,4,3,3,2,2,4,2,2,1
90,4,4,4,4,4,1,4,4,4,4,4,4,4,2,3,3,4,2
91,4,4,2,1,2.5,1.5,4,3,2,2,1,2,1,1,5,5,1,3
92,4.5,4,3,4,3.5,2.5,4,4,4,4,5,3,3,3,3,2,3,1
93,4.5,4,3,4.5,3.5,3,5,4,5,4,4,5,4,4,5,5,5,2
94,3.5,3.5,4,4,4,2,3,4,2,4,4,5,4,3,3,3,3,2
95,3.5,3,3,3.5,3,4,2,2,3,3,4,4,4,4,3,4,1,1
96,3,4,4,4,3.5,1,3,4,5,3,4,5,4,4,4,1,2,2
97,3.5,4,4,4.5,4,3.5,4,4,3,3,4,4,4,2,4,2,4,2
98,1.5,4,1,2,3,4,4,2,2,1,2,2,1,2,4,4,4,3
99,3,2,5,4.5,4,2,3,4,4,2,4,2,2,2,3,3,5,1
100,4,3,4,4,4,1,4,4,3,4,4,3,2,4,4,2,4,2
101,4,3,5,4,4.5,2,4,4,4,3,4,4,2,1,4,2,4,2
102,2.5,2,3,3,2,3,4,2,5,1,4,2,4,2,2,1,3,1
103,4,5,2,3.5,3.5,1,4,4,4,4,4,4,4,4,3,1,5,2
104,3.5,3,3,4,4,2.5,4,4,3,3,3,2,2,2,3,4,4,1
105,3.5,3,3,3.5,2.5,2,4,4,4,4,4,4,2,2,2,4,3,1
106,1.5,1.5,2,3,3,2.5,4,2,2,3,4,2,2,2,3,2,4,3
107,1.5,4,2,2.5,4,3.5,5,4,4,3,4,3,2,4,2,2,3,1
108,4,3,4,4.5,3.5,1,2,4,4,3,5,4,4,3,4,4,4,2
109,2.5,2,3,3.5,4,4.5,5,5,4,3,4,5,5,4,3,1,5,1
