"UMAP1","UMAP2","ID","hier_cluster","kproto_k2","kproto_k3","PDM_Type"
2.80486544245784,3.65102285322334,75,"2","1","2","Design-Bid-Build"
1.7167881473058,3.25313196582174,76,"2","1","2","Design-Build"
3.53211722941901,2.32259754343895,77,"1","2","3","Construction Manager @ Risk"
2.8089303177518,4.00605718060199,78,"2","1","2","Design-Build"
-1.48805130291575,-1.63530143277363,79,"1","2","3","Design-Bid-Build"
-1.93950945422597,-1.76108744663955,80,"3","1","2","Progressive Design-Build"
1.17722180508701,0.914639300028306,81,"2","1","2","Design-Build"
-0.297447265374873,-1.37589794301736,82,"1","1","2","Design-Build"
1.31414637091884,0.654214360675308,83,"2","1","2","Design-Build"
2.76579128262815,3.45612987477849,84,"2","1","2","Design-Build"
1.84541140167424,0.826358630712885,85,"1","1","2","Design-Bid-Build"
-4.5979262489717,-3.38805005257115,86,"2","1","2","Progressive Design-Build"
-0.686306950133435,-1.71814369918151,87,"1","2","3","Design-Build"
2.49496253799305,1.02069228604515,88,"1","2","3","Design-Build"
-0.601667954407128,-1.98822489172879,89,"1","2","3","Progressive Design-Build"
1.26064264144828,1.88417631718197,90,"2","1","2","Design-Bid-Build"
-0.63295697802562,-1.02074599418509,91,"3","2","3","Design-Bid-Build"
2.88214176252551,3.27783998384289,92,"1","1","2","Design-Bid-Build"
1.47223931166612,1.45197954961589,93,"2","1","2","Design-Bid-Build"
1.823905912373,1.24847113512469,94,"2","1","2","Design-Build"
-1.35434874548349,-2.9938809059721,95,"1","2","3","Design-Build"
3.38804680205543,3.43587606382153,96,"2","1","2","Design-Build"
3.06409020643902,3.76540411464329,97,"2","1","2","Design-Build"
-1.17245660911922,-1.45214040673956,98,"3","2","3","Design-Bid-Build"
3.88421032869005,3.21864364474706,99,"1","1","2","Design-Bid-Build"
-1.05302935610421,-1.91468344038102,100,"2","1","2","Progressive Design-Build"
1.95737554716423,1.00328424821392,101,"2","1","2","Design-Build"
-0.603826024636154,-2.37441333085268,102,"1","2","3","Design-Build"
-4.30698067827338,-3.25948835193266,103,"2","1","2","Design-Build"
-1.59570187492979,-2.02505177735033,104,"1","2","3","Design-Bid-Build"
-0.752286485848302,-2.47612723398311,105,"1","2","3","Design-Build"
-4.35158907564569,-3.34820502502293,106,"1","2","3","Design-Build"
-4.40113873694471,-3.55720022365294,107,"1","1","2","Design-Build"
0.955274619623778,0.35355215119628,108,"2","1","2","Design-Bid-Build"
-5.55175745251733,-2.97231168193295,109,"1","1","1","Design-Build"
