"cluster","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers"
"1",29,9.14285714285714,6.47619047619048,3.42857142857143
"2",20.4166666666667,4.08333333333333,4.66666666666667,3.41666666666667
"3",23.6875,2,7.75,2.875
"4",9.61904761904762,1.71428571428571,5.33333333333333,2.52380952380952
"5",10,2.66666666666667,5.44444444444444,4.22222222222222
"6",183.333333333333,1.66666666666667,25.8333333333333,3.33333333333333
"7",15.304347826087,1.73913043478261,4.69565217391304,3.04347826086957
