"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","ID","hier_cluster","kproto_k2","kproto_k3","PDM_Type"
0.241415900180709,-0.982223942246629,-0.72121687984003,-0.0711311103272695,-1.45659457579286,-0.705832497255394,1.02457922057422,-1.43198656424745,-1.42678113449373,0.0333292098223484,-1.84272074798311,-0.480507641988217,-0.597258136240535,-0.225661409926825,0.504340843819831,-1.10070774758048,-0.142015049054322,0.564106563013366,-0.572440956744335,0.496696612778006,-0.376046041017897,0.278249398067057,-0.706876769633226,-0.330288361160491,0.0331783812747336,0.456331124096209,1,"1","2","2","Progressive Design-Build"
-0.0601919083850891,-0.352869441370558,0.0392946598212926,-0.0150953522724366,-0.28265687568024,-0.365457615496264,1.1115449040742,-1.05310333605585,-0.570098314085151,0.380261253751135,-0.240690604322264,1.00158364911588,0.0730827362434218,0.4708575277876,0.621648116930821,-0.0495160053971754,0.663618612523835,0.492065589253177,0.795915010627897,0.585792344952601,-0.114741108276419,0.817569643191393,0.208988348733572,-0.304609397211922,-0.869699147803063,-0.0016646780986795,2,"2","1","2","Progressive Design-Build"
0.221483736381447,0.817869981504963,-0.412684935541745,-0.894311873113065,-2.36733702151944,0.770620340058893,0.248360481954397,0.287840908243894,-0.589223297092825,0.566573364727077,0.047788433582654,0.35546375386573,-0.0090559859409924,0.474928347906851,1.26266776408745,-0.260544530556333,0.901247072448604,0.562831031473233,0.525028298117314,-1.22425863247249,0.216646243878663,-0.146552707118541,0.595961923960029,0.0118238951519581,-0.17360468260114,0.146911504838822,3,"1","2","3","Progressive Design-Build"
3.73486752357239,-0.564973781259986,-1.24734538166095,0.588101040119079,-0.710137982199913,1.38827824462187,0.411120481984936,0.115581898775109,0.807722308355364,0.5897003064982,-0.93996079969559,-0.751483063012708,-0.505004784731157,-0.446451786917191,-0.121742150919764,-0.61484173336127,-0.0578775685106727,0.529465652891251,-0.558889867732842,-0.45878816675044,-0.220406900613351,-0.0701050430474584,-0.254012369191265,-0.24577148556868,0.0772311576718935,0.183557965549912,4,"2","1","2","Construction Manager @ Risk"
-2.95025315240991,0.410782809220564,0.210418701194615,-0.763833196917822,-0.597564956234217,-0.771952471773407,-0.451745642014852,-0.368306285701159,1.99713534488832,-0.28842523622909,-0.30577307724605,-1.19547568473498,-0.528166691038036,0.705636583159653,0.0196127995905196,0.36780263554338,0.358704891660094,-0.265426335634404,0.25385313345854,0.155805388815516,-0.0162639361199652,0.335957779857856,-0.197460224047602,0.00743278104486048,-0.0948937026153583,-0.144433593082272,5,"1","2","3","Construction Manager @ Risk"
1.1558895260886,-0.512178923847791,-1.44668845852412,1.03564801585705,-0.0476731680382371,-0.2356050973937,-0.28040316308065,-0.376071347054704,-0.0666798005370144,-0.348161222356315,-0.748947282297288,-0.946010387375829,0.285072954578198,0.480879375478925,0.697289567228984,-0.181467909213644,0.57472979313616,0.332021921783981,0.148376809525033,0.51402953302439,0.408913151625042,0.247326967392559,-0.0212097622161662,0.229237409425897,0.309549078238445,0.0817292497364582,6,"2","1","2","Construction Manager @ Risk"
-2.94567984305065,0.413516743737562,0.23264442061221,-0.791360664027315,-0.578171955225273,-0.741483077901662,-0.489286547991481,-0.415147378124665,1.97892121205926,-0.283606479059075,-0.298155744243277,-1.22010139956735,-0.509376264915491,0.69385822032449,0.0055884982634208,0.352067760803057,0.351553990204381,-0.265798082971107,0.271046890703735,0.153743119422484,-0.00637153334467943,0.335813131218269,-0.202373548688535,0.0329537738411015,-0.100704192465478,-0.150274723359636,7,"1","2","3","Design-Build"
3.52857916817369,-2.15870842709878,1.61186510028774,-3.23596182494674,3.01264301001915,0.417206420435121,1.27140014431564,0.26186638200958,-0.691279914763631,-0.206509121564358,1.06789825211556,1.2122434360975,0.536971418811387,1.04128963062707,-0.377361228326825,0.753569437282892,-0.0355925010226771,-0.787788843056985,0.039801711884778,-0.099510023701084,-0.466317683721618,-0.22079381317353,-0.00808814456623816,0.309782961863182,0.0241261538406859,0.468112247393469,8,"2","1","1","Construction Manager @ Risk"
-2.79251363282693,-0.0976720711398927,1.34165980365689,-0.550654229101203,0.0153875819565221,0.633837583021801,0.30748297612328,0.833185208982476,-0.683349004255254,-0.990730926222465,0.802041280068123,0.481312927572873,-0.177791611778503,-0.00916810061568078,-0.11768657699506,-0.372503685649217,-0.03159493938163,-0.623385843320674,-0.411060469587792,-0.697761930369491,0.337014424662836,0.740227276654182,0.177332650360736,0.207884622133625,0.402580046917171,-0.0415140919503217,9,"1","2","3","Construction Manager @ Risk"
5.82704953174778,-0.969386187177379,1.37471236451677,-5.48001096730973,1.97897750874246,-0.210328363875322,0.343378356727176,1.67381595975682,0.703248624763916,0.478071436151595,0.296897885852307,-0.808471789430536,0.543125508951049,-0.408064685943445,-0.0670365935749618,-0.058525865651908,-0.225549135037093,-0.0524135818987868,-0.296740635692915,-0.175886205393055,0.311557827372862,0.570572608861405,-0.0867550116771781,-0.0924777478978866,-0.124304117247776,0.142036005703454,10,"2","1","1","Integrated Project Delivery (IPD)"
