"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster1","Cluster2","HardCluster"
45,20,1,10,6,4,4,4,4,4,1,2,5,5,5,5,5,5,4,5,1,4,"Construction Manager @ Risk",0.833811988332536,0.166188011667464,1
46,15,2,4,4,3,4,4,2.5,4,2.5,4,4,4,4,4,2,3,2,4,2,4,"Design-Bid-Build",0.426060201320891,0.573939798679109,2
48,20,1,6,3,4,3.5,4,3,3,2,2,3,4,3,4,2,3,1,3,3,4,"Design-Bid-Build",0.245953210442766,0.754046789557234,2
49,8,2,2,4,3.5,3,4,4.5,4.5,1,2,4,4,5,5,4,4,4,3,3,4,"Construction Manager @ Risk",0.868548831945552,0.131451168054449,1
50,12,1,5,3,2.5,4,4,4.5,5,1,4,5,3,4,4,5,2,3,4,2,4,"Construction Manager @ Risk",0.841419030278383,0.158580969721617,1
51,20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Construction Manager @ Risk",0.782806908049695,0.217193091950305,1
53,20,3,6,3,4,4,2,3,3,1,4,4,4,4,4,2,2,1,3,1,4,"Design-Bid-Build",0.344133390407322,0.655866609592678,2
54,15,2,5,4,3.5,4,5,4,4,1,3,4,3,4,5,4,4,3,5,4,4,"Construction Manager @ Risk",0.887168053975603,0.112831946024397,1
55,25,1,3,1,4.5,3,4,3.5,4,1,4,5,5,4,5,5,4,4,5,1,5,"Design-Build",0.867522739366144,0.132477260633856,1
56,9,2,5,4,4,3.5,4,3.5,3.5,3,2,4,4,3,4,4,3,2,4,2,4,"Design-Build",0.66644460396045,0.33355539603955,1
57,3,3,4,4,4,4,4,4,4.5,4.5,4,4,5,5,5,3,2,5,5,4,3,"Design-Bid-Build",0.715880442638461,0.284119557361539,1
58,20,1,6,4,2,4,2,3,2,3,4,2,2,2,2,1,1,2,4,3,3,"Design-Build",0.112236771568429,0.887763228431571,2
59,20,9,17,3,3.5,3,3,3,4,4,4,4,5,2,2,4,4,4,2,3,2,"Design-Build",0.37653258055726,0.62346741944274,2
61,6,2,5,2,4,2,4,3.5,4,2.5,3,3,4,4,4,4,3,3,4,3,4,"Construction Manager @ Risk",0.695258356248335,0.304741643751665,1
62,10,1,5,5,4,4,3,4.5,3.5,1.5,4,4,4,4,4,4,4,3,4,2,4,"Design-Build",0.883117142360019,0.116882857639981,1
63,30,2,3,3,4.5,5,5,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Design-Bid-Build",0.757728849211061,0.242271150788939,1
65,5,2,4,3,3.5,4,2,4,4,2,3,4,4,2,4,4,4,3,4,2,4,"Progressive Design-Build",0.709682496611879,0.290317503388121,1
66,20,1,3,1,3,2,2,4,3.5,1.5,4,4,4,4,4,5,4,3,5,3,3,"Design-Bid-Build",0.65693800659034,0.34306199340966,1
68,2,1,2,3,1,3,3,2,3,1.5,3,2,2,3,4,3,4,1,2,2,2,"Design-Bid-Build",0.193212485645342,0.806787514354658,2
69,6,2,5,1,4.5,5,5,5,4.5,2.5,4,5,4,4,5,5,3,4,5,2,5,"Design-Build",0.903569898320646,0.0964301016793543,1
70,5,2,3,2,2.5,4,2,3,4,2,4,3,3,3,4,4,3,3,4,3,2,"Design-Bid-Build",0.30785282243029,0.69214717756971,2
71,8,2,2,2,4,4,4,4,4.5,2,2,4,4,5,5,4,3,2,4,4,3,"Design-Build",0.836941298426852,0.163058701573148,1
72,3,1,4,3,4.5,3.5,3,4,4,3.5,4,2,4,3,2,4,2,2,4,2,4,"Design-Build",0.35282049141091,0.64717950858909,2
73,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk",0.0541700714165035,0.945829928583496,2
74,10,30,6,3,2.5,1.5,2,2.5,2,1,2,2,4,1,2,1,2,2,4,2,5,"Design-Build",0.218924349091892,0.781075650908108,2
75,3,1,2,2,4,3.5,4,4.5,4,2,3,2,2,4,5,4,3,5,5,1,3,"Design-Bid-Build",0.742463599016857,0.257536400983143,1
76,5,1,10,3,4.5,5,4,4,4.5,1,3,5,3,5,5,5,5,3,5,1,4,"Design-Build",0.896118088445033,0.103881911554967,1
77,6,2,4,3,3,4,3,3,3,3,4,2,4,3,2,2,4,2,3,2,4,"Construction Manager @ Risk",0.135464456420554,0.864535543579446,2
78,3,1,2,2,4,3,4,5,4.5,4,4,3,3,4,4,5,4,4,4,2,4,"Design-Build",0.827012761764285,0.172987238235715,1
79,25,2,3,3,2,3.5,3,2.5,2,3,4,2,2,3,4,2,2,3,4,3,3,"Design-Bid-Build",0.109101829871252,0.890898170128748,2
80,30,1,3,5,3,4,1,1.5,2.5,4,2,2,2,1,1,1,1,1,2,4,2,"Progressive Design-Build",0.179262578306118,0.820737421693882,2
81,10,1,6,3,3,3.5,4,4,4.5,2.5,4,4,4,4,4,4,3,3,5,1,5,"Design-Build",0.880432124692382,0.119567875307618,1
82,16,1,1,3,2.5,2,4,3.5,4,5,5,3,4,4,3,4,1,1,1,1,4,"Design-Build",0.313351945374676,0.686648054625324,2
