"Owner_Type","PDM_Selected","PDM_Experience_DBB","PDM_Experience_DB","PDM_Experience_PDB","PDM_Experience_CMAR","PDM_Experience_IPD","ORG_Employees","ORG_Locations","ORG_Departments","ORG_Layers","DIST_Athority_Dispersion","DIST_Athority_Delegation","DIST_Process_InformalCommunication","DIST_Process_InformalProcedure","STY_DataDriven","STY_Participation_Inclusion","STY_Participation_Relational","STY_Adaptive_Informal","STY_Adaptive_Changeable","STY_Authoritative_Threats","STY_Authoritative_Compliance","CUL_Command","CUL_Symbolic","CUL_Formal","CUL_Experimental","CUL_Learning","FLEX_OpenToNewIdeas","FLEX_OpenToChanges","RISK_Tolerance","ENV_SustainedGrowth","ENV_HighriskIndustry","ENV_IndustryStability"
"Public/Government Sector/Quasi-public","Design-Build",4,4,2,2,1,50,4,10,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,3,3,2
"Public/Government Sector/Quasi-public","Progressive Design-Build",4,3,3,3,1,100,10,12,3,4,4,4,2,3,4,2,2,3,3,2,4,3,4,2,3,4,4,2,2,2,4
"Public/Government Sector/Quasi-public","Design-Build",4,4,3,3,2,15,2,8,4,2,2,3,2,2,3,3,2,3,1,1,3,2,4,2,3,2,2,2,2,5,1
"Private Sector (for profit and nonprofit)","Progressive Design-Build",3,4,4,3,3,10,3,3,2,5,5,4,5,4,5,5,4,4,1,1,4,5,3,4,5,5,4,5,4,3,3
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",3,3,1,4,3,10,1,3,2,4,4,4,4,4,4,4,4,4,2,2,4,4,4,5,5,5,5,4,4,2,3
"Private Sector (for profit and nonprofit)","Design-Bid-Build",4,3,2,2,1,3,1,1,2,3,5,4,4,5,5,4,2,2,1,1,1,4,2,4,3,1,1,4,3,3,4
"Public/Government Sector/Quasi-public","Design-Build",4,2,2,2,4,3,2,4,3,5,3,5,3,2,5,5,2,5,2,5,3,5,5,4,5,5,5,2,5,3,5
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,2,2,2,2,10,1,7,9,4,2,2,2,3,2,4,3,4,1,1,4,4,2,3,3,4,3,2,3,2,3
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",4,4,3,4,2,10,1,5,3,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,4,2,4
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",2,2,2,4,2,30,1,12,3,3,5,3,3,5,5,4,3,4,2,3,4,5,5,3,5,5,5,3,5,2,2
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,4,2,3,2,15,3,5,3,4,2,3,3,3,2,4,4,3,1,1,3,4,4,4,5,4,4,4,3,3,4
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,3,2,4,1,40,1,12,4,4,3,4,4,4,5,5,3,4,1,2,4,5,2,4,5,5,4,2,5,2,5
