"Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Technocracy","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type"
8,2,3,2,4,1,4,3,4,3,3,3,4,1,1,5,5,3,4,4,5,4,1,4,3,4,"Construction Manager @ Risk"
10,1,7,9,4,2,2,2,3,2,4,3,4,1,1,4,4,2,3,3,4,3,2,3,2,3,"Design-Bid-Build"
10,1,5,3,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,4,2,4,"Construction Manager @ Risk"
30,1,12,3,3,5,3,3,5,5,4,3,4,2,3,4,5,5,3,5,5,5,3,5,2,2,"Construction Manager @ Risk"
15,3,5,3,4,2,3,3,3,2,4,4,3,1,1,3,4,4,4,5,4,4,4,3,3,4,"Design-Bid-Build"
40,1,12,4,4,3,4,4,4,5,5,3,4,1,2,4,5,2,4,5,5,4,2,5,2,5,"Construction Manager @ Risk"
20,5,10,2,3,3,4,5,3,2,3,2,4,2,2,2,3,3,2,4,4,4,4,3,4,3,"Construction Manager @ Risk"
4,1,8,3,4,2,4,4,4,4,4,3,4,2,2,2,4,3,4,4,5,4,4,5,2,5,"Construction Manager @ Risk"
20,1,10,6,4,4,4,4,4,4,4,4,4,1,1,2,5,5,5,5,5,5,4,5,1,4,"Construction Manager @ Risk"
15,2,4,4,4,2,4,4,4,2,3,3,5,3,2,4,4,4,4,4,2,3,2,4,2,4,"Design-Bid-Build"
75,1,20,3,4,4,5,2,4,3,5,5,5,1,1,3,5,3,4,5,5,4,3,5,3,4,"Construction Manager @ Risk"
20,1,6,3,4,4,3,4,4,2,4,2,4,1,3,2,3,4,3,4,2,3,1,3,3,4,"Design-Bid-Build"
8,2,2,4,3,4,3,3,4,4,5,4,5,1,1,2,4,4,5,5,4,4,4,3,3,4,"Construction Manager @ Risk"
12,1,5,3,2,3,4,4,4,4,5,5,5,1,1,4,5,3,4,4,5,2,3,4,2,4,"Construction Manager @ Risk"
20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Construction Manager @ Risk"
100,2,30,5,4,4,2,2,4,5,5,2,5,1,3,1,5,5,4,5,5,2,1,3,1,5,"Integrated Project Delivery (IPD)"
20,3,6,3,4,4,4,4,2,4,2,2,4,1,1,4,4,4,4,4,2,2,1,3,1,4,"Design-Bid-Build"
15,2,5,4,4,3,4,4,5,4,4,4,4,1,1,3,4,3,4,5,4,4,3,5,4,4,"Construction Manager @ Risk"
50,1,15,3,4,4,4,5,5,4,4,4,5,1,1,3,5,3,4,5,4,4,3,4,2,4,"Construction Manager @ Risk"
